Company name,ASX code,GICS industry group,GICS Industry (Sub-Level),Share Price (AUD),Market Cap (Billion AUD),Outstanding Shares (Billion)
WESTGOLD RESOURCES LIMITED.,WGX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
WESTSTAR INDUSTRIAL LIMITED,WSI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
WHITE CLIFF MINERALS LIMITED,WCN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
WHITE ENERGY COMPANY LIMITED,WEC,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
WHITEFIELD INCOME LIMITED,WHI,Not Applic,Other/Not Applicable,,,
WHITEFIELD INDUSTRIALS LIMITED,WHF,Not Applic,Other/Not Applicable,,,
WHITEHAVEN COAL LIMITED,WHC,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
WHITEHAWK LIMITED,WHK,Software & Services,IT Services; Software,,,
WIA GOLD LIMITED,WIA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
WIDE OPEN AGRICULTURE LTD,WOA,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
WILDCAT RESOURCES LIMITED,WC8,Materials,Chemicals; Construction Materials; Metals & Mining,,,
WIN METALS LTD,WIN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
WINCHESTER ENERGY LTD,WEL,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
WINGARA AG LTD,WNR,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
WINSOME RESOURCES LIMITED,WR1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
WINTON LAND LIMITED,WTN,Real Estate Management & Development,Real Estate Management & Development,,,
WISETECH GLOBAL LIMITED,WTC,Software & Services,IT Services; Software,,,
WISEWAY GROUP LIMITED,WWG,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
WISR LIMITED,WZR,Financial Services,Diversified Financials; Capital Markets,,,
WOLFE ENERGY LIMITED,WFE,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
WOODSIDE ENERGY GROUP LTD,WDS,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
WORLEY LIMITED,WOR,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
WOTSO,WOT,Real Estate Management & Development,Real Estate Management & Development,,,
WRKR LTD,WRK,Software & Services,IT Services; Software,,,
WT FINANCIAL GROUP LIMITED,WTL,Financial Services,Diversified Financials; Capital Markets,,,
X2M CONNECT LIMITED,X2M,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
XAMBLE GROUP LIMITED,XGL,Media & Entertainment,Media; Entertainment,,,
XENITRA LIMITED,XEN,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
XENORA MINERALS LTD,XRA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
XERO LIMITED,XRO,Software & Services,IT Services; Software,,,
XPEDRA RESOURCES LIMITED,XPD,Materials,Chemicals; Construction Materials; Metals & Mining,,,
XPON TECHNOLOGIES GROUP LIMITED,XPN,Software & Services,IT Services; Software,,,
XREALITY GROUP LTD,XRG,Consumer Services,"Hotels, Restaurants & Leisure",,,
XREF LIMITED,XF1,Software & Services,IT Services; Software,,,
XRF SCIENTIFIC LIMITED,XRF,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
XSTATE RESOURCES LIMITED,XST,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
YANCOAL AUSTRALIA LIMITED,YAL,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
YANDAL RESOURCES LIMITED,YRL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
YARI MINERALS LIMITED,YAR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
YOJEE LIMITED,YOJ,Software & Services,IT Services; Software,,,
YOWIE GROUP LTD,YOW,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
YUGO METALS LIMITED,YUG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ZELIRA THERAPEUTICS LIMITED,ZLD,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
ZENITH MINERALS LIMITED,ZNC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ZEOTECH LIMITED,ZEO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ZEUS RESOURCES LIMITED,ZEU,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
ZICOM GROUP LIMITED,ZGL,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
ZIMI LIMITED,ZMM,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
ZIMPLATS HOLDINGS LIMITED,ZIM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ZINC OF IRELAND NL,ZMI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ZIP CO LIMITED..,ZIP,Financial Services,Diversified Financials; Capital Markets,,,
ZOONO GROUP LIMITED,ZNO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ZULEIKA GOLD LIMITED,ZAG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
